도서명,저자,카테고리,내용
삶이 내게 잘 지내냐고 물었다,김경집,"철학, 예술","인생이 힘겹고 외로울 때 꺼내 읽는 김경집의 인간학 수업. 존재만으로도 위로와 힘이 되는 사람들, 자신의 경계 안에서 나눔을 실천하는 사람들, 사회 구조를 바꾸고 그 변화를 통해 연대하는 사람들의 이야기가 생동감 있게 펼쳐진다. 인문학자로서의 통찰력으로 질문을 던지고 응축된 문장으로 메시지를 전한다."
삼킬 수 없는,빅토리아 잉,"공감·다양성, 성장","어릴 때부터 엄마는 밸러리가 어떤 음식을 얼마만큼 먹는지 살핀다. 섭식장애는 주로 10~20대 여성에게 많이 나타는 질병으로, 극도로 음식을 제한하며 몸무게 증가에 비정상적으로 집착하고, 자신의 몸을 실제와 다르게 왜곡하는 정신질환이다. 이 소설을 통해 마음의 상처와 성장에 대해 생각해 볼 수 있다."
상처주지 않을 결심,카렌 암스트롱,"성장, 가족·우정","고대 중국의 현자들과 기독교, 불교, 이슬람교의 성인들이 강조한 자비로운 자세, ‘내가 대접받고자 하는 대로 남을 대하라’는 황금률의 태도와 고대 그리스 비극 작품부터 뇌과학을 아우르며 수천년 간 축적된 인류의 경험과 지혜의 공통점을 탐구한다."
생각이 많은 10대를 위한 뜻깊은 세계사,최은진,"역사, 성장","기록 이전의 역사에서부터 오스트레일리아의 에뮤 전쟁에 이르기까지, 흥미진진한 세계사의 굽이굽이를 저자의 독특한 시선으로 풀어낸다. 학교에서 배우는 역사적 사건 외에도 잘 알려지지 않은 인물, 이해하기 힘든 사건 등을 이해하기 쉽게 설명해 생각의 힘을 기르고, 시야를 넓히는 세계사로 손색이 없다."
"생성형 AI야, 내 미래 직업은 뭘까","김원배, 한세희","과학·자연, 경제, 성장",사회환경과 과학기술의 변화와 발전에 따라 미래 직업 세계도 빠르게 바뀌고 있다. 특히 생성형 AI를 필두로 하는 인공지능 기술의 발달은 이제 인공지능과의 직업 경쟁이 SF 소설 속의 내용이 아닌 현실로 다가왔음을 시사하고 있다. 생성형 AI의 구조와 역사를 알려주는 일반 교양서이다.
서양음악사를 알고 싶은 그대에게,이인화,"예술, 성장",서양음악사의 핵심적인 지식들을 간명하게 이해할 수 있도록 간추렸다. 음악가이기에 앞서 현직 교사로서 누구보다 '배우는 자'의 마음을 잘 알기에 클래식의 기본개념 정립부터 클래식 음악사까지 친절하게 설명해준다.  '인간이 인간의 사상과 감정을 표현하기 위해 소리 요소들을 여러 가지 형식으로 조합하고 변형한 음악의 정의에 대해 알려준다.
세 가지 열쇠말로 여는 문학 이야기1.(성장편),전국국어교사모임,"예술, 성장",전국국어교사모임에서는 2018년부터 네이버 오디오 클립 채널 <세 가지 열쇠말로 여는 문학 이야기>에 다양한 문학 작품들을 맛깔나면서도 깊이 있는 해설로 꾸준히 소개하고 있다. 이렇게 6년 넘게 녹음한 내용을 청소년과 문학을 좋아하는 일반 독자들을 위해 책으로 새롭게 엮어 낸 것이 『세 가지 열쇠말로 여는 문학 이야기』 시리즈이다.
세 가지 열쇠말로 여는 문학 이야기2.(역사편),전국국어교사모임,"예술, 역사","‘역사’ 편에는 역사를 주요 배경으로 한 문학 작품 38편에 대한 해설이 담겨 있다. 『칼의 노래』처럼 우리가 익히 알고 있는 역사적 사건을 배경으로 한 작품은 물론 잘 알려지지 않은 현대사의 여러 사건까지, 역사 속에서 우리가 꼭 기억하고 생각해 보아야 할 작품들이 다양하게 선정되어 있다."
세 가지 열쇠말로 여는 문학 이야기3.(사랑편),전국국어교사모임,"가족·우정, 예술","“세 번째 이야기_사랑” 편에는 인류의 영원한 화두인 ‘사랑’과 관련된 이야기를 담은 문학 작품 36편을 선별해, 세 가지 열쇠말로 재미있게 풀어냈다."
세르게이의 N회차 인생,이사교,"공감·다양성, 성장, 철학","세르게이는 반복되는 삶을 살고 있다. 첫 번째 삶에서 두 번째 삶으로, 두 번째 삶에서 세 번째 삶으로, N회차 삶으로 이어지는 반복적인 생은 주인공이 도약을 이루는 계기가 된다."
소녀 저격수,한정영,"역사, 성장",주인공 설아가 잊어버린 자신의 과거를 떠올리는 동시에 자아를 찾아가는 역사판타지 소설이다. 인물이 가진 내면의 힘과 위태로운 조선의 운명 앞에 자신이 선택받은 흥미로운 이유를 밀도 있게 전개한다. 작품을 읽다 보면 그 시기를 가로지르는 색다른 인물의 감각과 움직임에 나도 모르게 등장인물의 마음을 들여다 볼 수 있다.
"소년이, 춤춘다",임화선,"성장, 예술","조선 후반기 무동이 되고 싶었던 바닷가 마을의 열세 살 소년의 이야기를 담은 작품이다. 동화작가였던 임화선 작가의 첫 청소년문학인 이 이야기는, 지금과 다르지 않았던 당시 십대 아이들의 꿈과 사랑, 우정, 가족애를 잔잔히 담아내고 있으며 잘 알려지지 않았던 궁중 무동의 선발이나 궁중음악에 대한 이야기가 담겨 있어 신선하면서도 흥미로움을 자아낸다."
손으로 보는 나의 세계,가시자키 아카네,"가족·우정, 공감·다양성, 예술","집 안에만 머물던 후타바는 시각 장애인 마라톤 대회를 준비하며 세상의 빛 속으로 조금씩 나올 준비를 한다. 타스쿠도 낯선 사람에 대한 두려움을 떨치고 흰지팡이를 들고 걷는 연습을 해 나간다. 우리가 살아가는 세상은 장애와 비장애 같은 선은 그어져 있지 않다고, 이 세계는 우리 모두 함께 살아가는 세계라고 외치면서 말이다."
송싸이공 할머니 사총사,이란주,"공감·다양성, 사회·정의","이란주의 소설은 이주민 사회라는 말로 뭉뚱그려질 수 없는 다채로운 삶과 새로운 연대를 그린다. 다문화 가정, 이주노동자, 미등록 체류 아동을 대상화하지 않는 묘사가 돋보인다."
수호의 파수꾼,최의택,"성장, 사회·정의, 공감·다양성","소수자들의 이야기를 드넓은 상상력 속에서 재현해온 최의택 작가의 경장편 소설이다. ‘언어’를 매개로 가해지는 차별과 멸시를 다룬 이야기로, 동시에 권력의 편차가 어떻게 발생하는지를 우주 콜로니에서의 성장 과정을 통해 집요하게 파헤친다. 주인공 월이 수호의 지난 역사와 마주하는 과정은 차별이 어떠한 형태로 단단하게 뿌리 박았는지 보여준다."
숲으로 간 여성들,"오애리,구정은","과학·자연, 사회·정의",국제 뉴스 전문 기자이자 환경을 사랑하는 저자가 역사적인 여성 환경운동가를 사회·경제·정치·복지 등 다양한 분야에서 조망한 책이다. 환경 파괴 문제는 모든 민주주의 문제와 연결되어 있다. 이 책을 통해 환경운동의 역사를 일군 위대한 여성들을 만날 수 있다.
슈퍼 스페이스 실록,곽재식,"과학·자연, 상상력","당신의 뇌에 별을 이식하는 곽재식 작가는 별을 삼킨 민족의 K실록을 꺼내들었다. 과학 기술은 서양의 것이고 한국의 전통은 과학 기술과 반대된다고 생각하는 사람들에게 작가가 질문한다. ‘그럴 리 없잖은가?’ 그는 조선왕조실록, 삼국유사, 고려사절요 등 수많은 문헌과 옛이야기, 전설, 신화를 모아 정리하고 이야기꾼 특유의 상상과 유머를 선보인다."
슬기로운 철학수업 쇼펜하우어,김미조 편역,"철학, 성장","지친 젊은이들의 서재가 되어주는 파랑새 서재가 현대사회의 아픈 영혼들의 자존감에 얹어주고자 새롭게 펴낸 철학 에세이. 세상을 깨부수려고 두 손에 망치를 들기를 자처했던 ‘영원한 무국적자’ 철학가 프리드리히 니체, '세계는 나의 표상이다.'라는 문구를 핵심으로 내세운 염세 철학의 아르투어 쇼펜하우어. 그들의 아포리즘을 철학 수업을 통해 전한다."
시 탐정 사무소2:울음은 금이 될 것이다,이락,"예술, 상상력, 성장",‘시 탐정 사무소’는 오늘도 성업 중! 브런치북 특별상 연작 추리 소설! 시 탐정 설록과 조수 완승 군은 의뢰인이 들고 온 시를 톺아보며 시를 남긴 자의 심리를 파악하여 사건을 해결한다. 시인의 생각과 감정이 절제된 언어로 표현된 시 속에는 그 사람의 마음이 녹아 있다. 단순하지만 낭만적이고 비현실적이지만 운치 있는 세계로 독자를 초대한다.
시간 속의 너에게,김문경 외,"예술, 성장","한국 최초의 어린이청소년SF 소설상 한낙원과학소설상 제10회 작품집. 폐허가 된 지구, 오염을 정화하는 일을 위해 만들어진 아이 혜성의 이야기이다. 기계에서 태어났다는 이유로 가해지는 수많은 차별의 한계를 벗어나 서로에게 삶의 이유가 되어 준 깊은 우정과 시간의 손길이 닿지 않는 마음에 대한 이야기를 전한다."
시간이 부족해 국어 시험 망친 십대에게,이윤옥,"예술, 성장","사회현상들을 규정하는 개념어를 알아두면 문해력과 어휘력을 쌓을 수 있고, 나아가 사회를 보는 사고력과 이해력을 높일 수 있다. 시험 시간 부족을 호소하는 학생들에게 마법 같은 책이다. 이 책에는 딜레마, 신드롬, 효과, 법칙 등 네 가지 카테고리로 구분하여 다양한 개념어들이 실려 있다."
시노애락,설 흔,"예술, 성장","작가 설흔의 일상에 찾아온 ‘시가’가 불러온 감정과 인물을 두서없이 적어나간 작가만의 기록이다. 작가의 영혼을 울린 26편의 시와 26편의 노래에 설흔만의 시선이 담긴 삶의 ‘슬픔’과 ‘기쁨’의 이야기를 담았다. 시와 노래의 조합도 신선하지만, 그에 호출되어 풀어져 나오는 설흔 스타일의 이야기보따리가 특별한 재미를 선사한다."
시답게 시작하는 황혼,권문자,"예술, 가족·우정","해방둥이로 태어난 시인에게도 현대사는 그냥 지나치지 않았다. 동네 친구의 아버지가 보도연맹 사건으로 연루되어 주검으로 돌아오자, 시인의 아버지는 그날로 집을 나갔다. 빨치산이 되었다는 소문만 무성하고 그 이후로 시인은 아버지 얼굴을 본 적이 없다. 시인의  삶과 함께한 할머니, 어머니, 시인의 인내를 시로 옮겼다."
시를 즐기는 법,박일환,"예술, 성장",누구나 시 한두 편 외우면서 어쩌다 한번은 써 보고도 싶은 마음이 있다. 하지만 시의 벽은 높기만 하다. 가까이 하기엔 너무 먼 시! 저자는 시를 사랑하는 시인이다. 팍팍한 삶에서 잠시 쉬어 갈 수 있는 여백을 주고 위로를 건네는 시와 한번 사귀어 보라고 권한다. 책에 담겨 있는 시를 저자와 함께 읽다 보면 어느새 시가 곁에 있는 순간을 느낄 것이다.
시험에 절대 안 나오는 영단어와 하찮고도 재미진 이야기,전은지,"사회·정의, 예술",영어전공자들도 고개를 젓는 낯선 단어들에 얽힌 기발하고 재미있고 신기한 이야기를 풀어 담은 책. 영어 단어를 둘러싼 그 나라의 사회문화를 안내하는 흥미로운 책이다. 웃다가 보면 단어가 저절로 외워지지만 정작 수능이나 시험에는 나올 것 같지 않은 공부의 반전재미를 선사한다.
식스틴,노수미 외,"성장, 가족·우정","나이 ‘열여섯’은 삶에서 어떤 시간일까. 거센 바람과 파도를 맞듯이 급격하게 흔들리고 바뀌는 이 시간 속 나, 너, 우리는 어떤 생각과 고민을 하고 세상을 꿈꿀까."
신록의 루미나,이재문,"공감·다양성, 가족·우정, 사회·정의",코로나 시대를 살면서 ‘공생’을 잃어버린 우리에게 자신이 가진 것을 나누고 함께 산다는 것의 진정한 의미를 깨우쳐 준다. 모두가 손가락질하는 친구에게 손 내미는 주인공의 태도는 자기중심주의가 깊어진 세상에서 진정한 공생의 의미를 되새기게 하는 따뜻한 메시지가 될 것이다.
신의 알바,김태호,"성장, 가족·우정","이 책에 수록된 이야기들은 모두 인생의 가장 푸른 시절을 살아가고 있는 십 대들의 목소리로 진행된다. 미성년과 성년의 경계에서, 우정과 사랑의 경계에서, 가해자와 피해자의 경계에서, 삶의 어느 경계에 아슬아슬하게 서 있던 십 대들이 각자의 성장통을 오롯이 겪어 내고 끝내 새로운 세상에 발을 내딛는 여섯 편의 이야기를 담았다."
십 대가 알아야 할 인공지능과 4차 산업혁명의 미래,전승민,"과학·자연, 성장","과학 베스트셀러《십 대가 알아야 할 인공지능과 4차 산업혁명의 미래》의 최신 개정판. 4차 산업혁명 초입에 출간되었던 초판 시점과는 달라진 현재의 과학 기술 동향을 보완하고 그 사이, 생성형 AI의 출현과 같은 거대한 파도가 되어 우리 삶을 바꾸어 놓은 4차 산업혁명의 물결을 살핀다."
십 대를 위한 사계절 수학 산책 이야기,염지현,"과학·자연, 성장","수학은 어려움에 골머리를 싸매다 점점 포기하게 되는 과목의 이미지가 강하다. 이 수학을 마치 산책하는 기분으로 편하게, 그리게 재미있게 접한다면 어떨까? 사계절 일상 속에 자리한 수학 이야기를 담은 수학 에세이다. 봄, 여름, 가을, 겨울에 만나는 우리의 생활과 자연, 삶의 장면 속에 다채로운 수학이 담겨 있다."
십 대를 위한 신화 속 과학인문학 여행,최원석,"상상력, 역사","인간의 상상과 허구가 가미된 신화에 실험과 증명으로 점철된 과학이 스며들어 있다면 어떨까? 언뜻 보기에는 동떨어져 보이는 신화와 과학이 ‘인간’이라는 키워드를 만나면 흥미진진한 공통분모를 그려 나간다. 《십 대를 위한 드라마 속 과학인문학 여행》는 청소년들에게 신화의 매력을 보여 주고, 그 속에 담긴 흥미진진한 과학을 탐험해 보는 책이다."
십 대를 위한 영화 속 인권 이야기,함보름,"사회·정의, 예술","인권은 ‘인간다운 삶’의 가장 기본이 되는 권리기 때문에 우리는 모두 인권을 알아야 한다. 《십 대를 위한 영화 속 인권 이야기》는 재미있는 영화를 통해 세계의 인재로 성장할 청소년들에게 꼭 필요한 인권 감수성을 길러 주고, 지속 가능한 세상을 위한 고민 그리고 인간다움에 대한 생각과 지식을 쌓게 도와주는 인권 교양서이다."
쓰기의 미래,나오미 배런,"예술, 성장, 과학·자연","언어학자이자 교육자로서 일찍이 AI에 관심을 가지고 연구를 시작한 저자 나오미 배런은 이 책에서 AI와 언어, 글쓰기의 교차점을 통찰하고 때로는 비판적으로 되돌아보며, 그로부터 파생되는 다양한 질문과 관점을 우리에게 제시한다. 특히 교육자로서 급변하는 교육 현장 한가운데 서 있는 저자가 AI와 글쓰기의 실질적 변화를 구체적으로 보여 준다."
안용복 재판정 참관기,김흥식,"상상력, 성장","안용복의 일대기를 중심으로, 독도·울릉도의 영유권을 놓고 진행된 조선-일본 정부의 치열한 외교전쟁을 담았다. 한일 갈등의 핵심인 독도 문제를 300년 앞서 해결해낸 법정 사극이다."
앨리스 앤솔로지 : 거울 나라 이야기,"범유진,이선,정이담","상상력, 성장","수년간 사랑받아온 ‘앨리스 시리즈’를 재해석한 프로젝트. 환상 문학의 다양한 매력을 선구적으로 선취한 소설인 만큼, SF·공포·추리·판타지 등 다양한 장르를 종횡무진하면서 발표하는 이야기꾼들과 함께한 앤솔로지다. 윤잼 일러스트 작가가 재해석한 책 표지와, 각 소설 안에 첨부된 삽화 또한 독자들에게 더 큰 감흥을 전해줄 것이다."
앨리스 앤솔로지 : 이상한 나라 이야기,"배명은,김청귤,이서영","상상력, 성장","수년간 사랑받아온 ‘앨리스 시리즈’를 재해석한 프로젝트. 환상 문학의 다양한 매력을 선구적으로 선취한 소설인 만큼, SF·공포·추리·판타지 등 다양한 장르를 종횡무진하면서 발표하는 이야기꾼들과 함께한 앤솔로지다. 윤잼 일러스트 작가가 재해석한 책 표지와, 각 소설 안에 첨부된 삽화 또한 독자들에게 더 큰 감흥을 전해줄 것이다."
야구도 널 사랑해줬어!,전상규,"가족·우정, 성장","야구라는 스포츠가 왜 감동적인지 집중 탐구한다. 구장, 야구공, 야구의 말, 야구의 멋. 야구는 숫자로 말하는 스포츠인데, 이 책은 숫자 너머의 감동을 이야기한다."
어떻게 예술 작품을 되살릴까?,"파비에네 마이어,지빌레 불프","예술, 경제, 성장","예술품 복원 과정의 시작부터 마무리까지 설명하는 책. 손상된 예술 작품을 진단하고 원본에 가깝게 복원하는 작업, 빛, 벌레, 곰팡이, 사람, 진동, 냄새로부터 작품을 보호하는 방법이 다양한 도판과 함께 자세하게 소개된다. 예술을 영원하게 만드는 숨은 영웅들의 세계 속으로 함께 탐험할 수 있다."
어마어마한 지구와 이토록 놀라운 사람들,디에고 브리아노 외,"과학·자연, 상상력","지구 곳곳에 관심을 가진 호기심 많은 사람이라면 이런 질문을 던지게 될 것이다. “거기 사람들은 뭘 하며 살까?”구독자 160만 지리덕후 유튜브 <어마어마한 세상>은  인포그래픽과 지도, 미공개 콘텐츠를 통해 우리를 미지의 마을과 섬, 장소들로 데려가며 낯선 삶을 전해준다."
어찌하오리까?,김진섭,"성장, 가족·우정","왕과 대신들이 만나 서로 묻고 답하며 치열하게 논쟁했던 어전회의 현장을 흥미롭게 묘사하고 세세하게 풀어낸 역사 교양서. 과거와 현재를 이어주는 역사 이야기꾼 저자는 정치와 경제뿐 아니라 민생과 제도, 법률과 사회, 문화와 풍속 등 국정 전 분야를 망라한 실록 속 어전회의 기록에서 조선 왕조의 흥망을 통찰하고, 역사의 역할과 가치를 재조명한다."
언니가 들려주는 한국사 이야기,최은서 외,"역사, 예술","역사포비아 근처에서 두려움 속 친구들을 위해 고교 3년을 주축으로 아홉 명의 언니 오빠, 역사친구들이 뭉쳤다. 선사시대에서 대한제국까지 역사의 맥락을 잡고, 시대마다 꼭꼭 집어 중요한 사건, 인물, 그 발자취를 따라간다. 그 흐름을 따라가다 보면, 자연스레 ‘역사문해력’이 쑥쑥 자라있는 스스로를 발견할 것이다(인세 전액은 [정의기억연대]에 기부된다)."
열네 살의 내비게이션,권요원,"가족·우정, 성장","‘타임조커’라는 환상적인 소재로 재미있게 이야기를 풀어 나간다. 길치 우림이와 뚱딴지 할아버지는 세대는 다르지만 시간 여행이라는 비밀을 공유하면서 서로의 아픔과 고민을 이해하고 보듬어 준다. 어느 순간 길을 잃어 깜깜한 터널 앞에 혼자 서 있는 것만 같을 때, 이 소설을 통해 앞으로 나아갈 수 있는 용기를 얻길 바란다."
열일곱의 미리보기,쿠로노 신이치,"성장, 가족·우정","청소년기 한 시점인 열일곱 살이 세상을 바라보는 시선이 담겨 있다. 주인공은 “낙오자 같은 현실에서 벗어날 수는 없는 걸까” “지금보다 더 나아질지도 모른다”는 막연한 기대를 한다. 어른들이 만든 부조리한 세상을 희망과 의지로 버티는 아이들. 이 책은 여러 열일곱에게 괜찮은 미래가 있으니, 여기서부터 다시 시작해 보자며 손 내밀고 있다."
"영원히 행복하게, 그러나-어떤 공주 이야기",연여름 외,"상상력, 철학","라푼젤, 엄지공주, 신데렐라, 백설공주, 디즈니 영화〈알라딘〉에 등장하는 자스민의 모티프가 된 바드돌바우어공주 등 우리가 친숙히 알고 있는, 알고 있다고 생각하는 공주 이야기를 SF, 호러, 코미디, 판타지로 재해석했다. 바쁜 직장인들의 사무실에서 옛날 옛적 설화의 세계까지, 작은 방에서부터 머나먼 미래의 우주까지 이야기로 뻗어나간다."
"영혼을 단장해드립니다, 챠밍 미용실",사마란,"상상력, 철학","망자의 소원을 이뤄주며 초월적인 존재들과 소통할 수 있는 미용사 ‘챠밍’과 수백 년간 살아왔으며 현재는 복덕방을 운영하는 도깨비, 이제 막 초월적인 존재들과 소통하게 된 ‘의명’, 세 명의 주인공이 현월동 이웃들과 함께 겪어나가는 따뜻한 소동을 그려낸다. <2024년 올해의 청소년 교양도서 우수선정도서>"
예티와 나 : 설화도 편,김영리,"과학·자연, 사회·정의, 성장, 가족·우정","365일 오염된 눈이 내리는 이곳, 설화도! 이 섬에는 비밀과 음모가 숨겨져 있다! 기억을 잃어버린 소녀, ‘심이연’. 전설 속 괴물 예티, ‘누누이’. 설화도 사람들 위에 군림하는 ‘천군’과 병사들의 비밀을 파헤치기 위한 두 사람의 모험을 담았다."
옐로 튤립 가든,김소윤,"성장, 공감·다양성","중학생 김소윤 작가가 직접 말하는 진짜 중학생의 성장 이야기이며 작가의 첫 청소년 소설.  심각한 수준의 학업 스트레스를 겪던 중 유일한 탈출구였던 정원마저 잃어버린 주은, 소중한 사람을 잃고 세상에 발을 붙이지 못했던 윤호는 서로가 서로의 용기가 되어 각자가 맞닥뜨린 큰 일들을 해결해 냄으로써 또래 친구들에게도 용기와 희망을 전한다."
오늘도 화학,오타 히로미치,"과학·자연, 가족·우정, 성장","식품부터 최첨단 기술까지, 75가지 화학 이야기! 우리 일상 속의 화학, 우리를 둘러싸고 있는 자연 속의 화학, 우리의 미래를 만들어가는 첨단의 화학을 통해 세상을 이해하기 위한 단서를 찾고자 한다. ‘화학’이라고 하면 어려운 학문이라고 생각하기 쉽지만 이 책에서는 우리 주변의 사물과 현상을 키워드로 광범위한 화학의 세계를 소개한다."
오백 년째 열다섯 3-두 개의 구슬,김혜정,"상상력, 역사","단군신화에서 탄생한 야호족과 호랑족이라는 참신한 세계관, 오백 년을 열다섯으로 살아온 독보적인 캐릭터의 『오백 년째 열다섯』 3권. 또 하나의 최초 구슬을 가진 웅족 진의 등장, 가을이 최초 구슬에 얽힌 비밀과 놀라운 힘을 알아가는 과정이 흡입력 있게 펼쳐진다."
온 세상이 교과서 시리즈1-8 (교실 너머 온 세상이 배움터),전국도덕교사모임 외,"철학, 사회·정의, 역사, 예술","온 세상이 교과서 시리즈는 더 나은 수업, 더 나은 배움을 위해 선생님들이 함께 고민하여 만든 책이다. 올바른 시민으로서 더 좋은 사회로 나아가야 할 방향을 탐구할 수 있는 작품부터 사진 한 컷, 역사 영화를 소재로 쉽게 접근할 수 있는 작품까지 선생님들이 청소년의 눈높이에 맞게 친절하고 흥미롭게 풀어 쓴 교실 밖 교과서 시리즈 세트 상품이다."
온라인과 오프라인 사이에서 철학하다,도야 히로시,"철학, 성장","온라인에서 만난 사람과는 정말 진정한 친구가 될 수 없을까? 온라인과 오프라인 사이를 넘나드는 동안, 우리는 어떤 경험을 하고, 어떤 내가 되고 있을까? 때때로 피로를 느끼면서도 SNS를 쉽사리 떠나지 못하는 이유, 온라인에서 유독 날을 세우게 되는 이유는 또 뭘까? 온라인에서의 다양한 현상과 우리 자신을 철학자들의 사상을 통해 탐구해 본다."
올림픽이 끝나면 패럴림픽이 시작됩니다,김양희,"공감·다양성, 성장, 용기·리더십","장애인 선수들의 패럴림픽 이야기. 패럴림픽도 공정한 규칙과 승부가 있는 스포츠이다. 치열한 경쟁 속에서 선수들이 보여 주는 도전과 승리는 그들을 장애인 선수가 아닌, 선수일 뿐이라는 사실을 느끼게 한다. 이 책은 선수들 인터뷰와 패럴림픽 종목을 소개하면서 한계를 뛰어넘는 도전이라는 스포츠의 본질적 가치와 장애인 스포츠의 특별한 의미를 전한다."
왜 우리는 가짜 뉴스에 더 끌릴까,외르크 베르나르디,"성장, 가족·우정","거짓과 진실을 가려내는 분별력은 어떻게 기를까? 미디어 환경과 소통의 문화, 권력과 대중의 상호작용, 어두운 충동까지 포함하는 인간의 사회적 심리를 입체적으로 살펴본다. 다양한 입장과 관점을 먼저 이해해야만 자신만의 논리적인 판단과 의견이 가능하다고 말한다. 풍성한 질문과 사고 실험들은 지적 사고력 향상에 유용하게 활용될 것이다."
왜 우리는 차별과 혐오에 지배당하는가?,"이라영, 외","사회·정의, 공감·다양성","권력, 정치, 장애, 인종주의, 오리엔탈리즘, 학교 인권 등 다양한 주제를 중심으로 일곱 분의 인권 전문가들이 우리 사회가 어떻게 차별과 혐오에 지배당하고 있는지, 차별과 혐오를 넘어서기 위해서는 무엇을 해야 하는지 알려준다."
요즘 청소년을 위한 화학의 쓸모,정병진,"과학·자연, 예술",현직 고등학교 과학 교사가 쓴 통합 과학을 준비하는 청소년들을 위한 화학 입문서! 일상에서 만나는 생활 화학 이야기를 담았다.
요즘 학생을 위한 딱 7일 수능 한국사,박순화,"역사, 성장","7일 만에 끝내는 수능 한국사 특강. 기타 한국사 책과 달리 빈출도 우선으로 구성하여 우리 삶에서 가장 가까운 근현대사부터 다루기 시작하여 조선, 고려, 고대사로 진행되는 역순 배치 한국사. 각 장마다 실전, 기출 문제를 풀면서 자가학습 정도를 체크할 수 있게 구성되어 있다."
용기의 쓸모,이옥수 외,"성장, 용기·리더십","이 책은 어른으로 가는 초입에 만난 작고 큰 장애물 앞에서 머뭇거리는 여섯 청소년들의 이야기를 진솔하게 전한다. 다양한 상황에 놓인 주인공들이 어려움을 딛고 용기를 내는 과정들을 따라가다 보면, 추상적이고 모호했던 용기의 모양과 쓸모가 손에 잡힌 듯 가까이 느껴질 것이다."
우리 곁에 있어야 할 법 이야기,최정규,"사회·정의, 성장","법의 탄생과 실행, 재판, 법률 구조, 장애인의 이동권, 인종차별, 이주민, 휴식, 직장 내 괴롭힘, 기후 위기 소송 등을 주제로 보통 사람들의 삶과 밀접한 법에 관한 이야기를 33가지 다양한 질문과 답변을 통해 청소년 눈높이에서 쉽게 알려준다."
우리 집을 부탁해,하나자토 마키,"가족·우정, 과학·자연, 사회·정의","열세 살의 고개를 넘어 새로운 일상을 만들어 가는 소녀의 도전기이다. 집도 인생도 맑고 깔끔하게, 우리 집 대청소 프로젝트. 쓰레기장 같은 집을 친구들에게 보여 주기 싫은 주인공. 집을 어디서부터, 무엇부터 바꿔나가는지 중학교 1학년 지사를 통해 들여다 볼 수 있다."
우리 함께 살아요,에릭 마티베,"과학·자연, 사회·정의","서로 돕는 지구 생명체와 자연과 환경을 위해 노력한 스물네 명의 환경운동가를 소개하고, 그들이 가꾸는 행복한 삶의 방식을 친근한 만화체 그림과 함께 재미있게 담았다. 왜 자연과 다른 생명을 존중하고 보호해야 하는지 일깨워 줄뿐 아니라, 깊이 생각하고 행동하여 독자 스스로 행복한 삶의 주체가 되도록 격려한다."
우리가 만드는 내일은,바네사 나카테,"과학·자연, 사회·정의, 성장, 공감·다양성","수줍음 많은 소녀가 세계적인 기후 활동가가 되는 여정과 그 과정에서 보고 알고 깨닫게 된 것을 담았다. 기후변화가 가난한 아프리카에 얼마나 더 가혹한 현실이 되었는지, 기후 재난이 가장 약한 어린아이와 여성을 어떻게 고통 속으로 내모는지. 바네사 나카테는 기후 위기가 아프리카의 고난과 성적, 인종적 불평등과 어떻게 연결되어 있는지 보여 준다."
우리들의 고민상담소,박일환,"가족·우정, 성장","박일환 시인이 교직에 몸담고 있을 때 만났던 청소년들의 다양한 모습과 시인 안에 머물고 있던 그들의 목소리를 고스란히 담아낸 시집. 아이들의 삶에 간섭하지 않고, 잔소리하지 않으며 애정을 가지고 들여다보는 시인의 마음가짐이 따뜻하다. 시인이 들려주는 애정이 담뿍 담긴 시선들은 아이들을 지탱해주는 큰 힘이 될 것이다."
우리의 싸움은 아직 시작도 하지 않았다,프리데만 카릭,"사회·정의, 예술","망가져가는 세상을 구하는 시민 저항의 힘이 우리에게 있다고 차분하지만 열정적으로 말하는 책. 저자는 혁명의 3.5%법칙, 사회가 변화하는 방식, 목적과 수단의 관계, 폭력의 문제 등을 짚어가면서 효과적인 저항이란 어떤 것이지 알려준다. 이 책을 덮고 나면 체념과 좌절이 사라진 자리에 새로운 희망이 꿈틀거리는 것을 확인하게 될 것이다."
우리의 활보는 사치가 아니야 - 휠체어 탄 여자가 인터뷰한 휠체어 탄 여자들,김지우,"공감·다양성, 사회·정의","20대 장애 여성이 인터뷰한 10대~60대 장애 여성 이야기. 이 책에는 휠체어 탄 여성이 잔뜩 등장한다. 소녀에서 할머니에 이르는 멋진 여자들의 용기와 유머, 지혜와 활력이 가득하다. 장애 여성의 평범한 일상을 통해 한국 사회의 현재를 비추는 기록인 동시에, 세상이 롤모델을 보여주지 않기에 스스로 찾아 나선 20대 여성의 성장 서사다."
우주-아무것도 '없음'에서 뭔가 '생겨남'의 비밀,얀 파울 스휘턴,"과학·자연, 예술, 상상력","끝없이 많은 우주에 끝없이 많은 우리가 살 수도 있는 놀라운 세계, 시간 여행과 블랙홀, 암흑 물질과 소립자로 가득한 물리학과 천문학의 세계, 양자 역학과 최신 우주 이론을 총망라하여 가장 작은 것의 세계부터 거대한 우주를 관통하는 진리를 파헤친다. 우주 탄생이라는 수수께끼의 해답에 아주 가까이 다가가는 멋진 과학책이다."
